date,holiday,sinhour,coshour,sindow,cosdow,sindate,cosdate,T_ctrl,T_stp_cool,T_stp_heat,Humidity,compCool1,compCool2,fan,Thermostat_Motion,T_out,RH_out,Thermostat_Temperature
8/7/17,0,0.866025404,0.5,0,1,0.988468324,0.151427778,69,69,66,53,165,165,210,0,68,77,70
8/7/17,0,0.866025404,0.5,0,1,0.988468324,0.151427778,69,69,66,54,90,0,90,0,68,77,69
8/7/17,0,0.866025404,0.5,0,1,0.988468324,0.151427778,70,69,66,56,300,0,300,0,68,77,69
8/7/17,0,0.866025404,0.5,0,1,0.988468324,0.151427778,71,69,66,56,300,90,300,0,68,77,69
8/7/17,0,0.866025404,0.5,0,1,0.988468324,0.151427778,71,69,66,54,300,300,300,0,68,77,69
8/7/17,0,0.866025404,0.5,0,1,0.988468324,0.151427778,69,69,66,54,270,270,300,0,68,77,69
8/7/17,0,0.866025404,0.5,0,1,0.988468324,0.151427778,68,69,66,52,0,0,15,0,66,80,68
8/7/17,0,0.866025404,0.5,0,1,0.988468324,0.151427778,67,69,66,56,0,0,0,0,66,80,66
8/7/17,0,0.866025404,0.5,0,1,0.988468324,0.151427778,67,69,66,58,0,0,0,0,66,80,66
8/7/17,0,0.866025404,0.5,0,1,0.988468324,0.151427778,67,69,66,58,0,0,0,1,66,80,66
8/7/17,0,0.866025404,0.5,0,1,0.988468324,0.151427778,67,69,66,56,0,0,0,1,66,80,67
8/7/17,0,0.866025404,0.5,0,1,0.988468324,0.151427778,67,69,66,58,0,0,0,0,66,80,67
8/7/17,0,0.965925826,0.258819045,0,1,0.988468324,0.151427778,67,69,66,58,0,0,0,0,67,80,67
8/7/17,0,0.965925826,0.258819045,0,1,0.988468324,0.151427778,67,69,66,56,0,0,0,1,67,80,67
8/7/17,0,0.965925826,0.258819045,0,1,0.988468324,0.151427778,67,69,66,56,0,0,0,0,67,80,67
8/7/17,0,0.965925826,0.258819045,0,1,0.988468324,0.151427778,67,69,66,57,0,0,0,0,67,80,67
8/7/17,0,0.965925826,0.258819045,0,1,0.988468324,0.151427778,67,69,66,57,0,0,0,0,67,80,67
8/7/17,0,0.965925826,0.258819045,0,1,0.988468324,0.151427778,67,69,66,57,0,0,0,0,67,80,68
8/7/17,0,0.965925826,0.258819045,0,1,0.988468324,0.151427778,67,74,70,57,0,0,0,0,66,84,68
8/7/17,0,0.965925826,0.258819045,0,1,0.988468324,0.151427778,67,74,70,57,0,0,0,0,66,84,68
8/7/17,0,0.965925826,0.258819045,0,1,0.988468324,0.151427778,67,74,70,57,0,0,0,0,66,84,68
8/7/17,0,0.965925826,0.258819045,0,1,0.988468324,0.151427778,67,74,70,58,0,0,0,0,66,84,68
8/7/17,0,0.965925826,0.258819045,0,1,0.988468324,0.151427778,67,74,70,58,0,0,0,0,66,84,68
8/7/17,0,0.965925826,0.258819045,0,1,0.988468324,0.151427778,67,74,70,58,0,0,0,0,66,84,68
8/7/17,0,1,6.12E-17,0,1,0.988468324,0.151427778,67,74,70,58,0,0,0,0,68,84,68
8/7/17,0,1,6.12E-17,0,1,0.988468324,0.151427778,67,74,70,58,0,0,0,0,68,84,68
8/7/17,0,1,6.12E-17,0,1,0.988468324,0.151427778,67,74,70,58,0,0,0,0,68,84,68
8/7/17,0,1,6.12E-17,0,1,0.988468324,0.151427778,68,74,70,58,0,0,0,0,68,84,68
8/7/17,0,1,6.12E-17,0,1,0.988468324,0.151427778,68,74,70,58,0,0,0,0,68,84,68
8/7/17,0,1,6.12E-17,0,1,0.988468324,0.151427778,68,74,70,57,0,0,0,0,68,84,68
8/7/17,0,1,6.12E-17,0,1,0.988468324,0.151427778,68,74,70,57,0,0,0,0,66,84,68
8/7/17,0,1,6.12E-17,0,1,0.988468324,0.151427778,68,74,70,57,0,0,0,0,66,84,68
8/7/17,0,1,6.12E-17,0,1,0.988468324,0.151427778,68,74,70,57,0,0,0,0,66,84,68
8/7/17,0,1,6.12E-17,0,1,0.988468324,0.151427778,68,74,70,57,0,0,0,0,66,84,68
8/7/17,0,1,6.12E-17,0,1,0.988468324,0.151427778,68,74,70,57,0,0,0,0,66,84,68
8/7/17,0,1,6.12E-17,0,1,0.988468324,0.151427778,68,75,69,57,0,0,0,0,66,84,68
